Customer_ID,Total_Transactions,Total_Spend,Avg_Transaction,Fraud_Transactions,Max_Risk_Score,Avg_Risk_Score,Customer_Risk_Level
CUST00001,9,23324.93,2591.658888888889,0,10,2.2222222222222223,Low
CUST00002,13,6527.64,502.1261538461539,0,10,3.8461538461538463,Low
CUST00003,10,414982.94999999995,41498.295,1,20,5.5,Low
CUST00004,13,13444.48,1034.190769230769,0,10,3.076923076923077,Low
CUST00005,12,80262.22,6688.518333333333,3,85,14.583333333333334,High
CUST00006,13,32589.32,2506.8707692307694,0,10,3.076923076923077,Low
CUST00007,10,13535.51,1353.551,0,10,3.0,Low
CUST00008,9,35644.74,3960.5266666666666,0,10,3.3333333333333335,Low
CUST00009,8,31167.31,3895.91375,1,20,2.5,Low
CUST00010,6,7255.28,1209.2133333333334,0,10,3.3333333333333335,Low
CUST00011,16,13010.52,813.1575,0,10,1.875,Low
CUST00012,7,11439.32,1634.1885714285713,0,10,2.857142857142857,Low
CUST00013,16,308655.13,19290.945625,1,10,2.5,Low
CUST00014,17,20636.98,1213.94,0,10,4.705882352941177,Low
CUST00015,14,58315.28,4165.377142857143,1,10,3.5714285714285716,Low
CUST00016,9,11965.44,1329.4933333333333,0,10,3.3333333333333335,Low
CUST00017,15,6762.83,450.8553333333333,2,30,5.333333333333333,Low
CUST00018,11,39738.44,3612.585454545455,0,10,2.727272727272727,Low
CUST00019,11,16468.3,1497.1181818181817,1,20,5.454545454545454,Low
CUST00020,17,41419.69,2436.4523529411767,0,10,2.9411764705882355,Low
CUST00021,6,64675.86,10779.31,0,10,1.6666666666666667,Low
CUST00022,9,107097.63,11899.736666666668,2,10,3.3333333333333335,Low
CUST00023,14,71521.05,5108.646428571429,2,20,5.0,Low
CUST00024,14,2456.7599999999998,175.4828571428571,0,10,5.714285714285714,Low
CUST00025,12,24837.23,2069.7691666666665,0,10,3.3333333333333335,Low
CUST00026,14,53856.93,3846.9235714285714,1,10,2.857142857142857,Low
CUST00027,9,47047.31,5227.478888888889,0,10,3.3333333333333335,Low
CUST00028,4,8279.73,2069.9325,0,10,2.5,Low
CUST00029,8,59854.53,7481.81625,0,10,1.25,Low
CUST00030,10,4969.32,496.93199999999996,0,10,5.0,Low
CUST00031,10,73380.61,7338.061,0,10,2.0,Low
CUST00032,5,20273.829999999998,4054.7659999999996,0,10,4.0,Low
CUST00033,6,11782.279999999999,1963.7133333333331,0,10,1.6666666666666667,Low
CUST00034,7,5004.34,714.9057142857143,0,10,2.857142857142857,Low
CUST00035,11,83777.3,7616.118181818182,1,30,7.2727272727272725,Low
CUST00036,13,108479.38,8344.567692307694,0,10,1.5384615384615385,Low
CUST00037,15,10626.83,708.4553333333333,0,10,4.0,Low
CUST00038,11,55355.48,5032.316363636364,1,10,3.6363636363636362,Low
CUST00039,12,44829.08,3735.7566666666667,0,10,1.6666666666666667,Low
CUST00040,12,78557.07,6546.422500000001,0,10,3.3333333333333335,Low
CUST00041,12,11232.369999999999,936.0308333333332,1,10,4.166666666666667,Low
CUST00042,11,59327.74,5393.430909090909,0,10,1.8181818181818181,Low
CUST00043,3,40451.79,13483.93,0,10,3.3333333333333335,Low
CUST00044,10,13054.35,1305.435,1,20,4.0,Low
CUST00045,8,34918.47,4364.80875,0,10,2.5,Low
CUST00046,6,21849.97,3641.661666666667,0,10,5.0,Low
CUST00047,6,14369.73,2394.955,0,10,3.3333333333333335,Low
CUST00048,11,241843.32,21985.756363636363,0,10,1.8181818181818181,Low
CUST00049,11,195189.36000000002,17744.487272727274,1,10,1.8181818181818181,Low
CUST00050,13,39748.11,3057.546923076923,0,10,3.8461538461538463,Low
CUST00051,9,3772.98,419.22,0,0,0.0,Low
